zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
731,18.09775,-66.63355,Ponce,PR,Puerto Rico,1,,12722,125.6,72113,Ponce,"{'72001': 2.2, '72113': 97.8}",Ponce|Adjuntas,72113|72001,False,0,America/Puerto_Rico
735,18.25365,-65.68306,Ceiba,PR,Puerto Rico,1,,12404,227.4,72037,Ceiba,"{'72037': 99.18, '72103': 0.82}",Ceiba|Naguabo,72037|72103,False,0,America/Puerto_Rico
736,18.10652,-66.15258,Cayey,PR,Puerto Rico,1,,47411,361.1,72035,Cayey,"{'72035': 92.62, '72041': 7.38}",Cayey|Cidra,72035|72041,False,0,America/Puerto_Rico
738,18.318279999999998,-65.66785,Fajardo,PR,Puerto Rico,1,,30376,457.4,72053,Fajardo,{'72053': 100},Fajardo,72053,False,0,America/Puerto_Rico
739,18.17681,-66.16055,Cidra,PR,Puerto Rico,1,,36847,485.1,72041,Cidra,{'72041': 100},Cidra,72041,False,0,America/Puerto_Rico
740,18.33221,-65.63431,Puerto Real,PR,Puerto Rico,1,,1625,1876.9,72053,Fajardo,{'72053': 100},Fajardo,72053,False,0,America/Puerto_Rico
741,18.16564,-65.75563000000001,Punta Santiago,PR,Puerto Rico,1,,4880,812.1,72069,Humacao,{'72069': 100},Humacao,72069,False,0,America/Puerto_Rico
745,18.34827,-65.8172,Rio Grande,PR,Puerto Rico,1,,51429,411.9,72119,Río Grande,"{'72029': 1.4, '72119': 98.6}",Río Grande|Canóvanas,72119|72029,False,0,America/Puerto_Rico
751,18.01023,-66.24750999999999,Salinas,PR,Puerto Rico,1,,21009,190.1,72123,Salinas,{'72123': 100},Salinas,72123,False,0,America/Puerto_Rico
754,18.1457,-65.97606999999999,San Lorenzo,PR,Puerto Rico,1,,37727,308.9,72129,San Lorenzo,{'72129': 100},San Lorenzo,72129,False,0,America/Puerto_Rico
757,17.99727,-66.38891,Santa Isabel,PR,Puerto Rico,1,,22066,301.1,72133,Santa Isabel,{'72133': 100},Santa Isabel,72133,False,0,America/Puerto_Rico
765,18.128510000000002,-65.44093000000001,Vieques,PR,Puerto Rico,1,,8607,184.5,72147,Vieques,{'72147': 100},Vieques,72147,False,0,America/Puerto_Rico
766,18.13299,-66.47703,Villalba,PR,Puerto Rico,1,,23201,255.4,72149,Villalba,"{'72107': 1.57, '72149': 98.43}",Villalba|Orocovis,72149|72107,False,0,America/Puerto_Rico
767,18.070529999999998,-65.89604,Yabucoa,PR,Puerto Rico,1,,34166,264.9,72151,Yabucoa,"{'72069': 0.21, '72151': 99.79}",Yabucoa|Humacao,72151|72069,False,0,America/Puerto_Rico
769,18.097,-66.36101,Coamo,PR,Puerto Rico,1,,39121,203.1,72043,Coamo,{'72043': 100},Coamo,72043,False,0,America/Puerto_Rico
771,18.187479999999997,-65.86931,Las Piedras,PR,Puerto Rico,1,,37165,438.3,72085,Las Piedras,{'72085': 100},Las Piedras,72085,False,0,America/Puerto_Rico
772,18.43267,-65.90836,Loiza,PR,Puerto Rico,1,,20055,608.6,72087,Loíza,{'72087': 100},Loíza,72087,False,0,America/Puerto_Rico
773,18.34173,-65.7274,Luquillo,PR,Puerto Rico,1,,18547,318.7,72089,Luquillo,{'72089': 100},Luquillo,72089,False,0,America/Puerto_Rico
775,18.313470000000002,-65.29016999999999,Culebra,PR,Puerto Rico,1,,1299,65.3,72049,Culebra,{'72049': 100},Culebra,72049,False,0,America/Puerto_Rico
777,18.22356,-65.90881,Juncos,PR,Puerto Rico,1,,39994,591.0,72077,Juncos,"{'72029': 0.16, '72063': 0.12, '72077': 99.03, '72085': 0.69}",Juncos|Las Piedras|Canóvanas|Gurabo,72077|72085|72029|72063,False,0,America/Puerto_Rico
778,18.263379999999998,-65.97936,Gurabo,PR,Puerto Rico,1,,46675,591.7,72063,Gurabo,"{'72063': 99.76, '72129': 0.24}",Gurabo|San Lorenzo,72063|72129,False,0,America/Puerto_Rico
